10.92,85.73,0.1
11,85.94,0.1
11.09,86.13,0.1
11.17,86.3,0.1
11.26,86.47,0.1
11.34,86.61,0.1
11.42,86.75,0.1
11.51,86.87,0.1
11.59,86.98,0.1
11.68,87.09,0.1
11.76,87.17,0.1
11.84,87.25,0.1
11.93,87.31,0.1
12.01,87.37,0.1
12.1,87.42,0.11
12.18,87.47,0.11
12.26,87.52,0.11
12.35,87.56,0.11
12.43,87.61,0.11
12.52,87.65,0.11
12.6,87.69,0.11
12.68,87.72,0.11
12.77,87.75,0.11
12.85,87.77,0.11
12.94,87.8,0.11
13.02,87.83,0.11
13.1,87.86,0.11
13.19,87.89,0.11
13.27,87.91,0.11
13.36,87.93,0.11
13.44,87.95,0.11
13.52,87.96,0.11
13.61,87.97,0.11
13.69,87.97,0.11
13.78,87.98,0.11
13.86,87.99,0.11
13.94,87.99,0.11
14.03,87.99,0.11
14.11,87.99,0.11
14.2,88,0.11
14.28,88,0.11
14.36,88.01,0.11
14.45,88.01,0.11
14.53,88.01,0.11
14.62,88,0.11
14.7,88,0.11
14.78,88,0.11
14.87,88,0.11
14.95,88,0.11
15.04,87.99,0.11
15.12,87.99,0.11
15.2,87.99,0.11
15.29,87.99,0.11
15.37,87.99,0.11
15.46,87.99,0.11
15.54,87.99,0.11
15.62,87.99,0.11
15.71,87.99,0.11
15.79,87.99,0.11
15.88,87.99,0.11
15.96,88.01,0.11
16.05,88.03,0.11
16.13,88.08,0.11
16.21,88.14,0.11
16.3,88.21,0.11
16.38,88.29,0.11
16.47,88.37,0.11
16.55,88.39,0.11
16.63,88.4,0.11
16.72,88.41,0.11
16.8,88.4,0.11
16.89,88.4,0.11
16.97,88.39,0.11
17.05,88.39,0.11
17.14,88.38,0.11
17.22,88.37,0.11
17.31,88.37,0.11
17.39,88.37,0.11
17.47,88.37,0.11
17.56,88.37,0.11
17.64,88.38,0.11
17.73,88.38,0.11
17.81,88.37,0.11
17.89,88.37,0.11
17.98,88.36,0.11
18.06,88.36,0.11
18.15,88.36,0.11
18.23,88.35,0.11
18.31,88.35,0.11
18.4,88.34,0.11
18.48,88.34,0.11
18.57,88.33,0.11
18.65,88.32,0.11
18.73,88.31,0.11
18.82,88.31,0.11
18.9,88.3,0.11
18.99,88.29,0.11
19.07,88.28,0.11
19.15,88.28,0.11
19.24,88.28,0.11
19.32,88.28,0.11
19.41,88.27,0.11
19.49,88.27,0.11
19.57,88.27,0.11
19.66,88.27,0.11
19.74,88.26,0.11
19.83,88.26,0.11
19.91,88.25,0.11
19.99,88.24,0.11
20.08,88.24,0.11
20.16,88.24,0.11
20.25,88.24,0.11
20.33,88.24,0.11
20.41,88.23,0.11
20.5,88.22,0.11
20.58,88.22,0.11
20.67,88.21,0.11
20.75,88.2,0.11
20.83,88.2,0.11
20.92,88.19,0.11
21,88.19,0.11
21.09,88.19,0.11
21.17,88.19,0.11
21.25,88.18,0.11
21.34,88.17,0.11
21.42,88.17,0.11
21.51,88.16,0.11
21.59,88.15,0.11
21.67,88.14,0.11
21.76,88.13,0.11
21.84,88.12,0.11
21.93,88.12,0.11
22.01,88.11,0.11
22.09,88.1,0.11
22.18,88.1,0.11
22.26,88.1,0.11
22.35,88.1,0.11
22.43,88.1,0.11
22.51,88.1,0.11
22.6,88.09,0.11
22.68,88.08,0.11
22.77,88.08,0.11
22.85,88.07,0.11
22.93,88.07,0.11
23.02,88.06,0.11
23.1,88.06,0.11
23.19,88.05,0.11
23.27,88.04,0.11
23.35,88.03,0.11
23.44,88.03,0.11
23.52,88.02,0.11
23.61,88.01,0.11
23.69,88.01,0.11
23.77,88.01,0.11
23.86,88,0.11
23.94,88,0.11
24.03,87.99,0.11
24.11,87.99,0.11
24.19,87.99,0.11
24.28,88,0.11
24.36,88,0.11
24.45,88,0.11
24.53,88,0.11
24.61,88.01,0.11
24.7,88.01,0.11
24.78,88.01,0.12
24.87,88.02,0.11
24.95,88.02,0.11
25.03,88.02,0.11
25.12,88.02,0.11
25.2,88.02,0.11
25.29,88.02,0.11
25.37,88.02,0.11
25.45,88.03,0.11
25.54,88.03,0.11
25.62,88.04,0.11
25.71,88.04,0.11
25.79,88.04,0.11
25.87,88.04,0.11
25.96,88.04,0.11
26.04,88.04,0.11
26.13,88.04,0.11
26.21,88.03,0.11
26.29,88.03,0.11
26.38,88.03,0.11
26.46,88.03,0.11
26.55,88.03,0.11
26.63,88.04,0.11
26.71,88.04,0.11
26.8,88.04,0.11
